iter	RMSE
0	24.69390814
1	22.95581106
2	21.33448009
3	19.91957076
4	18.59911783
5	17.31331717
6	16.18280934
7	15.10913938
8	14.09877727
9	13.16497249
10	12.33306514
11	11.57109459
12	10.89402231
13	10.19692044
14	9.574959194
15	8.980147703
16	8.422540437
17	7.914135984
18	7.438994046
19	7.015143204
20	6.612660622
21	6.229208457
22	5.87150541
23	5.557747082
24	5.263439077
25	4.982850207
26	4.733697516
27	4.502399814
28	4.286960085
29	4.09036986
30	3.8956506
31	3.714380606
32	3.536778943
33	3.377347465
34	3.230422506
35	3.092466546
36	2.96973514
37	2.846029282
38	2.809987615
39	2.775006846
40	2.74120864
41	2.708460481
42	2.605056442
43	2.573750013
44	2.543336201
45	2.513814077
46	2.484877876
47	2.377567266
48	2.350281921
49	2.251560294
50	2.225673915
51	2.200527134
52	2.115231084
53	2.091086965
54	2.067764087
55	1.986656838
56	1.964359927
57	1.94270607
58	1.921675743
59	1.901205514
60	1.826807391
61	1.807322205
62	1.743562726
63	1.724987311
64	1.706995374
65	1.689548696
66	1.67260083
67	1.655726508
68	1.639823387
69	1.624361066
70	1.560907799
71	1.545795113
72	1.491271616
73	1.477251805
74	1.463660317
75	1.450445036
76	1.437682309
77	1.384769712
78	1.369353822
79	1.357598532
80	1.346216147
81	1.29840536
82	1.287580072
83	1.24476154
84	1.234454726
85	1.22449808
86	1.213980344
87	1.204649863
88	1.195620022
89	1.186916168
90	1.178480408
91	1.141059921
92	1.131824922
93	1.124022478
94	1.116479028
95	1.109164468
96	1.07464193
97	1.067658132
98	1.060897111
99	1.029007837
100	1.022506549
101	1.016094501
102	1.009932999
103	0.9842618381
104	0.9601448322
105	0.954262001
106	0.9488540468
107	0.9436529683
108	0.9386246653
109	0.9136225499
110	0.9088277887
111	0.9042249325
112	0.8820758978
113	0.8776967414
114	0.8734893226
115	0.8534414109
116	0.849463358
117	0.8453310057
118	0.8404451463
119	0.8351978154
120	0.8165361213
121	0.8026569431
122	0.7993245556
123	0.7946170094
124	0.7915184814
125	0.7813891184
126	0.7771802109
127	0.7736235128
128	0.7570451155
129	0.7532955884
130	0.7452251726
131	0.7297776302
132	0.7273610749
133	0.7240552542
134	0.7117225842
135	0.7095196734
136	0.7074117532
137	0.7045139128
138	0.6934606566
139	0.6907658104
140	0.6884797163
141	0.6860029254
142	0.6740166683
143	0.6716949902
144	0.6694773319
145	0.6673588358
146	0.6577729778
147	0.6558032126
148	0.6469149321
149	0.6450861573
150	0.6433385025
151	0.6416682118
152	0.6328580737
153	0.6254425772
154	0.6239508105
155	0.6225243921
156	0.6211603375
157	0.6120087532
158	0.610848377
159	0.6097344489
160	0.6037742376
161	0.6026172088
162	0.6015108834
163	0.5894702587
164	0.5885244554
165	0.5824942923
166	0.5816013966
167	0.5807461575
168	0.575985237
169	0.5751891886
170	0.5682236832
171	0.5674788937
172	0.5667627292
173	0.5618594077
174	0.5611919776
175	0.5520045199
176	0.5496561223
177	0.5490453545
178	0.5443191145
179	0.5437508929
180	0.5403061592
181	0.5397763429
182	0.5392702966
183	0.5358394944
184	0.5273374032
185	0.5268711889
186	0.5235133885
187	0.5178559291
188	0.5174302684
189	0.5170225329
190	0.5102514042
191	0.5098930696
192	0.5053775172
193	0.5050179288
194	0.5023713783
195	0.5020573957
196	0.4981529711
197	0.4969724284
198	0.4966892099
199	0.4964171849
200	0.4930391591
201	0.4890152605
202	0.4841708019
203	0.4832431668
204	0.4829915907
205	0.4800653838
206	0.4798467681
207	0.4763854614
208	0.4733736062
209	0.4703187948
210	0.4652300639
211	0.4629085431
212	0.4593427166
213	0.457473008
214	0.4566978386
215	0.4565275071
216	0.4541947594
217	0.4508920318
218	0.4493563212
219	0.4483564889
220	0.4450335456
221	0.442271525
222	0.4394651174
223	0.4374809857
224	0.4332115918
225	0.432670126
226	0.4298362739
227	0.4272485151
228	0.4247870431
229	0.423891856
230	0.4201986332
231	0.4177586307
232	0.4174813178
233	0.417325062
234	0.4152326856
235	0.4109246124
236	0.4096657555
237	0.4064038182
238	0.4047807059
239	0.4022037671
240	0.3999504489
241	0.3974271167
242	0.3945944992
243	0.3930918411
244	0.3911108861
245	0.3890001531
246	0.3870901051
247	0.3849254571
248	0.3831750502
249	0.3794567169
250	0.3772904919
251	0.3765745982
252	0.3734789753
253	0.3713748827
254	0.3697237128
255	0.3682264839
256	0.3659554736
257	0.364134574
258	0.3628129666
259	0.3593031801
260	0.3571284927
261	0.3567790789
262	0.3549954949
263	0.3523785802
264	0.3508693005
265	0.3485141229
266	0.3460474974
267	0.3437332739
268	0.3434342544
269	0.3417775899
270	0.3392075775
271	0.3370872594
272	0.3355984788
273	0.3324630581
274	0.3306767951
275	0.3289849522
276	0.3281872999
277	0.3268778562
278	0.325449224
279	0.3246386242
280	0.3213211273
281	0.3199422448
282	0.3187174583
283	0.3159781975
284	0.3147996303
285	0.3126250974
286	0.3100541774
287	0.3086795395
288	0.3086318957
289	0.3073493399
290	0.3073034029
291	0.3047607582
292	0.3031595083
293	0.3012565037
294	0.3012117915
295	0.29882265
296	0.297289133
297	0.2965032088
298	0.2949680363
299	0.2934724738
300	0.2922104725
301	0.2903715583
302	0.2897337661
303	0.288449635
304	0.2866429676
305	0.2846599762
306	0.2831592869
307	0.2814145861
308	0.2805339398
309	0.2795821549
310	0.279539631
311	0.2781079183
312	0.2780518886
313	0.2780125102
314	0.2769785423
315	0.275276276
316	0.2741158921
317	0.2740773303
318	0.2725576301
319	0.2708472925
320	0.2686939861
321	0.2686567167
322	0.2676890049
323	0.2676531087
324	0.2676186497
325	0.2664785953
326	0.2648285791
327	0.2647953152
328	0.2639890043
329	0.2625940753
330	0.2611584235
