iter	Passed	Remaining
0	3	3103
1	6	3048
2	9	3035
3	12	3094
4	15	3122
5	18	3079
6	21	3043
7	24	3029
8	27	3010
9	30	3029
10	33	3017
11	36	2991
12	39	2982
13	42	2968
14	45	2959
15	47	2945
16	50	2934
17	53	2926
18	56	2915
19	59	2914
20	62	2903
21	65	2902
22	68	2893
23	71	2892
24	74	2890
25	76	2879
26	79	2879
27	83	2888
28	86	2883
29	89	2887
30	92	2883
31	95	2873
32	97	2865
33	100	2859
34	103	2855
35	106	2846
36	109	2839
37	111	2832
38	114	2825
39	117	2820
40	120	2812
41	122	2788
42	124	2780
43	127	2771
44	130	2761
45	132	2744
46	134	2729
47	137	2726
48	139	2710
49	142	2706
50	144	2694
51	146	2679
52	149	2678
53	152	2673
54	154	2657
55	157	2655
56	159	2642
57	161	2627
58	164	2616
59	166	2614
60	169	2611
61	171	2597
62	174	2596
63	177	2595
64	179	2586
65	182	2576
66	184	2571
67	187	2566
68	189	2557
69	191	2550
70	194	2548
71	197	2541
72	200	2540
73	202	2534
74	205	2530
75	208	2528
76	210	2519
77	212	2516
78	215	2513
79	218	2508
80	220	2497
81	222	2495
82	224	2484
83	227	2483
84	230	2480
85	233	2479
86	235	2470
87	237	2466
88	240	2463
89	242	2456
90	245	2453
91	248	2457
92	251	2455
93	254	2452
94	256	2445
95	259	2441
96	262	2441
97	264	2438
98	267	2437
99	270	2436
100	273	2434
101	276	2434
102	279	2431
103	281	2428
104	284	2427
105	287	2422
106	289	2418
107	291	2410
108	294	2408
109	297	2407
110	300	2404
111	302	2396
112	305	2396
113	307	2391
114	309	2382
115	312	2380
116	314	2372
117	317	2370
118	319	2368
119	322	2364
120	325	2361
121	327	2359
122	330	2358
123	334	2360
124	336	2353
125	338	2350
126	341	2348
127	344	2345
128	347	2346
129	350	2344
130	353	2343
131	356	2342
132	358	2335
133	360	2332
134	363	2330
135	366	2330
136	368	2324
137	371	2322
138	374	2319
139	377	2316
140	379	2313
141	382	2311
142	385	2309
143	388	2306
144	390	2303
145	393	2300
146	396	2298
147	398	2296
148	401	2294
149	404	2292
150	407	2289
151	409	2286
152	412	2285
153	415	2284
154	418	2281
155	421	2278
156	423	2276
157	426	2274
158	429	2271
159	431	2267
160	434	2265
161	437	2261
162	440	2260
163	443	2258
164	445	2255
165	448	2253
166	451	2250
167	454	2249
168	457	2247
169	459	2245
170	462	2242
171	465	2239
172	467	2235
173	470	2233
174	473	2230
175	476	2228
176	478	2225
177	481	2221
178	484	2220
179	486	2217
180	489	2214
181	492	2211
182	494	2208
183	497	2206
184	500	2205
185	503	2202
186	506	2200
187	508	2198
188	511	2195
189	514	2193
190	517	2192
191	520	2190
192	523	2189
193	526	2187
194	529	2186
195	532	2184
196	535	2182
197	538	2181
198	541	2179
199	544	2178
200	547	2176
201	550	2175
202	554	2175
203	557	2174
204	560	2173
205	563	2172
206	566	2171
207	570	2171
208	573	2171
209	577	2170
210	580	2170
211	583	2169
212	587	2170
213	590	2169
214	594	2168
215	597	2167
216	600	2167
217	603	2165
218	606	2164
219	609	2162
220	613	2161
221	616	2160
222	619	2159
223	623	2158
224	626	2157
225	629	2156
226	633	2156
227	636	2154
228	639	2153
229	642	2152
230	646	2151
231	649	2150
232	652	2148
233	655	2145
234	659	2145
235	662	2143
236	665	2142
237	668	2141
238	672	2140
239	675	2138
240	678	2136
241	681	2135
242	685	2134
243	688	2134
244	692	2132
245	695	2131
246	698	2129
247	702	2128
248	705	2127
249	708	2125
250	711	2124
251	715	2122
252	718	2121
253	721	2119
254	725	2118
255	728	2116
256	731	2115
257	735	2114
258	738	2112
259	741	2110
260	745	2109
261	748	2108
262	751	2106
263	755	2105
264	758	2104
265	762	2103
266	765	2101
267	768	2100
268	772	2098
269	775	2096
270	778	2095
271	782	2093
272	785	2092
273	789	2090
274	792	2089
275	795	2087
276	799	2085
277	802	2083
278	805	2081
279	808	2078
280	811	2077
281	815	2075
282	818	2074
283	821	2072
284	825	2070
285	828	2068
286	831	2066
287	835	2064
288	838	2062
289	841	2060
290	844	2058
291	848	2056
292	851	2054
293	854	2052
294	858	2050
295	861	2049
296	865	2048
297	868	2046
298	872	2046
299	876	2045
300	879	2042
301	883	2041
302	886	2039
303	890	2038
304	893	2037
305	897	2035
306	900	2033
307	904	2031
308	907	2029
309	910	2026
310	913	2024
311	917	2022
312	920	2020
313	923	2018
314	926	2015
315	930	2014
316	933	2012
317	936	2009
318	940	2007
319	943	2005
320	947	2003
321	950	2001
322	953	1998
323	956	1995
324	959	1993
325	963	1991
326	966	1989
327	969	1986
328	973	1984
329	976	1983
330	980	1980
331	983	1978
332	986	1975
333	989	1973
334	993	1971
335	996	1968
336	999	1966
337	1003	1965
338	1007	1963
339	1010	1961
340	1013	1958
341	1017	1956
342	1020	1954
343	1023	1951
344	1026	1949
345	1030	1946
346	1033	1944
347	1036	1942
348	1040	1940
349	1043	1937
350	1046	1935
351	1049	1932
352	1053	1930
353	1056	1928
354	1059	1925
355	1063	1923
356	1066	1920
357	1069	1917
358	1072	1914
359	1075	1912
360	1078	1909
361	1081	1906
362	1085	1904
363	1088	1901
364	1091	1899
365	1094	1896
366	1098	1894
367	1101	1892
368	1105	1890
369	1109	1888
370	1112	1886
371	1116	1884
372	1119	1882
373	1123	1879
374	1126	1878
375	1130	1875
376	1134	1874
377	1137	1871
378	1141	1869
379	1144	1866
380	1147	1864
381	1151	1862
382	1154	1859
383	1157	1857
384	1160	1854
385	1164	1851
386	1167	1849
387	1170	1846
388	1173	1843
389	1177	1842
390	1181	1839
391	1184	1837
392	1187	1834
393	1191	1832
394	1195	1830
395	1198	1828
396	1202	1825
397	1205	1823
398	1209	1821
399	1213	1820
400	1216	1817
401	1220	1815
402	1223	1813
403	1227	1810
404	1230	1808
405	1234	1806
406	1238	1804
407	1241	1801
408	1245	1799
409	1248	1796
410	1252	1794
411	1255	1792
412	1259	1789
413	1262	1787
414	1266	1784
415	1269	1782
416	1272	1779
417	1276	1777
418	1279	1774
419	1283	1771
420	1286	1769
421	1289	1766
422	1293	1764
423	1296	1761
424	1299	1758
425	1303	1755
426	1306	1753
427	1309	1750
428	1312	1747
429	1315	1744
430	1319	1741
431	1322	1739
432	1325	1735
433	1328	1733
434	1332	1730
435	1335	1727
436	1338	1724
437	1342	1721
438	1344	1718
439	1348	1716
440	1351	1713
441	1354	1710
442	1357	1707
443	1361	1704
444	1364	1701
445	1367	1698
446	1370	1695
447	1373	1692
448	1377	1690
449	1380	1687
450	1384	1684
451	1387	1682
452	1390	1679
453	1394	1676
454	1397	1673
455	1400	1670
456	1403	1668
457	1407	1665
458	1410	1662
459	1413	1659
460	1416	1656
461	1419	1652
462	1422	1649
463	1425	1647
464	1428	1644
465	1431	1640
466	1435	1638
467	1438	1635
468	1441	1632
469	1445	1629
470	1448	1626
471	1451	1623
472	1454	1620
473	1457	1617
474	1460	1614
475	1463	1611
476	1467	1608
477	1470	1605
478	1473	1602
479	1476	1599
480	1479	1596
481	1482	1593
482	1485	1590
483	1488	1587
484	1492	1584
485	1495	1581
486	1498	1579
487	1502	1576
488	1505	1573
489	1508	1570
490	1512	1567
491	1515	1564
492	1518	1562
493	1522	1559
494	1526	1557
495	1530	1555
496	1534	1552
497	1537	1550
498	1541	1547
499	1545	1545
500	1548	1542
501	1552	1540
502	1556	1537
503	1560	1535
504	1563	1532
505	1567	1529
506	1570	1527
507	1574	1524
508	1577	1521
509	1580	1518
510	1584	1515
511	1587	1513
512	1590	1510
513	1594	1507
514	1597	1504
515	1600	1501
516	1603	1498
517	1606	1495
518	1610	1492
519	1613	1489
520	1617	1486
521	1620	1483
522	1623	1480
523	1626	1477
524	1629	1474
525	1633	1472
526	1636	1469
527	1640	1466
528	1644	1463
529	1647	1461
530	1651	1458
531	1654	1455
532	1657	1452
533	1660	1449
534	1663	1445
535	1666	1442
536	1669	1439
537	1673	1436
538	1676	1433
539	1679	1430
540	1682	1427
541	1685	1423
542	1688	1420
543	1691	1417
544	1694	1414
545	1697	1411
546	1700	1408
547	1703	1405
548	1706	1402
549	1710	1399
550	1713	1396
551	1716	1393
552	1719	1389
553	1722	1386
554	1725	1383
555	1729	1380
556	1732	1377
557	1735	1374
558	1738	1371
559	1741	1368
560	1744	1365
561	1748	1362
562	1751	1359
563	1754	1356
564	1757	1353
565	1760	1349
566	1763	1346
567	1767	1343
568	1770	1340
569	1773	1337
570	1776	1334
571	1780	1331
572	1783	1329
573	1786	1326
574	1790	1323
575	1793	1320
576	1796	1317
577	1800	1314
578	1803	1311
579	1806	1308
580	1810	1305
581	1813	1302
582	1817	1299
583	1820	1296
584	1824	1293
585	1827	1290
586	1830	1287
587	1833	1284
588	1837	1281
589	1840	1278
590	1843	1275
591	1846	1272
592	1850	1269
593	1853	1266
594	1856	1263
595	1860	1260
596	1863	1257
597	1866	1254
598	1869	1251
599	1873	1248
600	1876	1245
601	1879	1242
602	1883	1239
603	1886	1236
604	1889	1233
605	1892	1230
606	1895	1227
607	1899	1224
608	1902	1221
609	1905	1218
610	1908	1215
611	1911	1212
612	1915	1209
613	1918	1206
614	1921	1203
615	1924	1199
616	1927	1196
617	1931	1193
618	1934	1190
619	1937	1187
620	1940	1184
621	1943	1181
622	1947	1178
623	1950	1175
624	1953	1172
625	1956	1169
626	1960	1166
